FromCurrency,RateFromUSD,RateToUSD,Date
Euro,0.926068,1.079835,22May2023
British Pound,0.805140,1.242021,22May2023
Indian Rupee,82.833525,0.012072,22May2023
Australian Dollar,1.507959,0.663148,22May2023
Canadian Dollar,1.350843,0.740278,22May2023
Singapore Dollar,1.345399,0.743274,22May2023
Swiss Franc,0.898917,1.112450,22May2023
Malaysian Ringgit,4.546802,0.219935,22May2023
Japanese Yen,137.950450,0.007249,22May2023
Chinese Yuan Renminbi,7.030038,0.142247,22May2023
Argentine Peso,465.653335,0.004295,22May2023
Australian Dollar,3.014569,0.663445,22May2023
Bahraini Dinar,0.752000,2.659574,22May2023
Botswana Pula,27.196682,0.073538,22May2023
Brazilian Real,9.997468,0.200051,22May2023
British Pound,1.608941,1.243053,22May2023
Bruneian Dollar,2.690143,0.743455,22May2023
Bulgarian Lev,3.620485,0.552412,22May2023
Canadian Dollar,2.700292,0.740661,22May2023
Chilean Peso,1597.063148,0.001252,22May2023
Chinese Yuan Renminbi,14.059595,0.142252,22May2023
Colombian Peso,9077.840456,0.000220,22May2023
Czech Koruna,43.838391,0.045622,22May2023
Danish Krone,13.788520,0.145048,22May2023
Emirati Dirham,7.345000,0.272294,22May2023
Euro,1.851125,1.080424,22May2023
Hong Kong Dollar,15.639378,0.127882,22May2023
Hungarian Forint,696.086596,0.002873,22May2023
Icelandic Krona,280.090881,0.007141,22May2023
Indian Rupee,165.643208,0.012074,22May2023
Indonesian Rupiah,29798.425311,0.000067,22May2023
Iranian Rial,84887.021919,0.000024,22May2023
Israeli Shekel,7.304076,0.273820,22May2023
Japanese Yen,275.734768,0.007253,22May2023
Kazakhstani Tenge,890.026946,0.002247,22May2023
Kuwaiti Dinar,0.614254,3.255981,22May2023
Libyan Dinar,9.569412,0.208999,22May2023
Malaysian Ringgit,9.096831,0.219857,22May2023
Mauritian Rupee,91.541567,0.021848,22May2023
Mexican Peso,35.539993,0.056275,22May2023
Nepalese Rupee,265.153366,0.007543,22May2023
New Zealand Dollar,3.190400,0.626881,22May2023
Norwegian Krone,21.785518,0.091804,22May2023
Omani Rial,0.770050,2.597233,22May2023
Pakistani Rupee,575.223472,0.003477,22May2023
Philippine Peso,111.645601,0.017914,22May2023
Polish Zloty,8.384367,0.238539,22May2023
Qatari Riyal,7.280000,0.274725,22May2023
Romanian New Leu,9.217839,0.216971,22May2023
Russian Ruble,159.988522,0.012501,22May2023
Saudi Arabian Riyal,7.500000,0.266667,22May2023
Singapore Dollar,2.690143,0.743455,22May2023
South African Rand,38.640281,0.051759,22May2023
South Korean Won,2636.670565,0.000759,22May2023
Sri Lankan Rupee,612.529364,0.003265,22May2023
Swedish Krona,21.053648,0.094995,22May2023
Swiss Franc,1.796241,1.113436,22May2023
Taiwan New Dollar,61.363649,0.032593,22May2023
Thai Baht,68.958705,0.029003,22May2023
Trinidadian Dollar,13.547544,0.147628,22May2023
Turkish Lira,39.661610,0.050427,22May2023
